"Číslo projektu","Soutěž","Komise","Navrhovatel","Uchazeč","Fakulta","Abstrakt","Klíčová slova","Trvání","Dotace","Způsobilé","Název"
"20-14704Y","Juniorské projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","RNDr. Petr Čapek, Ph.D.","Jihočeská univerzita v Českých Budějovicích","Přírodovědecká fakulta","Efektivita, s jakou půdní mikroorganismy využívají dostupný organický substrát (označovaná akronymem CUE), rozhoduje ve svém výsledku o tom, zda půda zadržuje, nebo ztrácí uhlík (C). CUE je definována jako podíl množství C vstupujícího do buňky využitého na tvorbu buněčných produktů a představuje důležitý parameter současných biogeochemických matematických modelů. Vliv různých půdních vlastností na hodnotu CUE však dosud není uspokojivě vysvětlen. V rámci tohoto projektu  navrhujeme dlouhodobý inkubační pokus. Jeho cílem je studovat vliv redoxního potenciálu půdy a koncentrace anorganických akceptorů elektronů na CUE pomocí sledování řady chemických, izotopových, genetických, mikrobiálních a biochemických charakteristik dvou půd a to na jemné časové škále. Použité půdy díky historickému zatížení kyselými depozicemi a rozdílnému obsahu železa představují v kontextu navrhovaného projektu ideální studijní subjekt. Hodnocení vlivu obou faktorů na hodnotu CUE bude kvantitativně stanoveno pomocí matematického modelu, který zohledňuje proměnlivé chemické složení půdní mikrobiální biomasy.","CUE;redoxní potenciál;akceptory elektronů;struktura mikrobiální komunity;matematické modelování;půda",3,"8464","8464","Propojení experimetálních a matematických přístupů ve studiu vlivu redoxního potenciálu půdy na využitelnost substrátu mikroorganismy"
"20-10222S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","doc. Mgr. Radim Šumbera, Ph.D.","Jihočeská univerzita v Českých Budějovicích","Přírodovědecká fakulta","Hlavním cílem projektu je porozumět procesům kladogeneze a mikroevoluce u podzemních hlodavců, rypošovitých (Bathyergidae, Rodentia). Přes řadu mimořádných objevů učiněných na této skupině, není její druhová diverzita dostatečně prozkoumána a ani fylogenetické vztahy nejsou na druhové úrovni hodnověrně vyřešeny. Neznalost detailní fylogeneze a taxonomického vymezení jednotlivých druhů znesnadňuje další pokrok v ekologickém a evolučně-biologickém ale i dynamicky se rozvíjejícím biomedicínském výzkumu, pro které jsou rypoši modelovou skupinou. Díky spolupráci se všemi relevantními pracovišti a bezprecedentnímu pokrytí druhového spektra a geografického rozšíření získáme v tomto projektu novou druhovou fylogenezi rypošů. Ta vytvoří časoprostorový rámec, v němž bude možné testovat hypotézy o evoluci sociality a podzemního fenotypového syndromu, tedy souboru unikátních adaptací vztažených k hrabání, jakožto nejtypičtější aktivity spojené s životem savců v podzemí.","rypošovití;fylogeneze;delimitace druhů;datování divergencí;druhová diverzita;evoluce sociality;funkční rysy",3,"14444","14444","Fylogeneze, adaptace a evoluce sociality rypošovitých; modelové skupiny pro evoluční a biomedicínský výzkum"
"20-09103S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Mgr. Tomáš Doležal, Ph.D.","Jihočeská univerzita v Českých Budějovicích","Přírodovědecká fakulta","Inzulínová rezistence (IR) je většinou považována za patologický stav. U lidí je IR často spojována s řadou zdravotních problémů, ale stále příliš dobře nerozumíme tomu, proč se IR vyvíjí. Výskyt IR u mnoha různých organizmů a v mnoha různých kontextech naznačuje, že pro takový metabolický program musí existovat fyziologické důvody. Cílem navrhovaného projektu je studium fyziologické úlohy IR při akutní imunitní reakci s jejími případnými patologickými důsledky na modelu drozofily. Naše předběžné výsledky naznačují, že imunitní buňky by mohly používat Impl2 k inhibici inzulinové signalizace během imunitní reakce, což bychom mohli využít k testování důležitosti IR pro účinnost imunitní odpovědi. Vzhledem k tomu, že Impl2 byl též identifikován jako mediátor kachexie vyvolané rakovinou, mohl by tento výzkum propojit fyziologickou úlohu IR s jejími patologickými následky jako je kachexie při chronických infekcích nebo rakovině. Plánujeme také analyzovat, jak hmyzí imunitní buňky získávají živiny ve stavu IR, abychom tak rozšířili evoluční náhled na tento důležitý biologický jev.","imunometabolizmus; Drozofila; trehalóza; Impl2; inzulínová rezistence",3,"9570","9570","Molekulární mechanismy privilegovaného přístupu aktivovaných imunitních buněk k energii u drozofily"
"20-24867S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Doc. PhDr. Petr Chalupský, Ph.D.","Univerzita Karlova","Pedagogická fakulta","Cílem projektu je systematická analýza ztvárnění prostou v románech dvou předních současných britských autorů Jima Crace a Simona Mawera. Toto téma se ukazuje klíčové jednak v kontextu současné literární tvorby obecně, ale především z hlediska literárně-teoretického. Tvorbu obou romanopisců spojuje fenomén konstrukce rozmanitých literárních krajin a jejich určující role pro tematickou i narativní strukturu jednotlivých děl. Základem projektu je proto provedení zevrubného výzkumu a následné klasifikace a taxonomie různých teoretických přístupů k literárnímu ztvárnění reálného i zcela imaginárního prostoru. Na základě takto získaných poznatků je provedena textová a posléze komparativní analýza vybraných románů obou autorů. Konečným výstupem projektu je odborná monografie, která poukazuje na idiosynkratická pojetí literárního prostoru těmito autory, stejně jako na jejich komplexnost z hlediska současné literární teorie.","Literární ztvárnění prostoru;topos;literární krajina;Jim Crace;Simon Mawer;současná britská próza",3,"880","880","Ztvárnění prostoru v románech Jima Crace a Simona Mawera"
"20-05484S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","doc. PhDr. RNDr. Hana Voňková, Ph.D. et Ph.D.","Univerzita Karlova","Pedagogická fakulta","Současný výzkum učení se angličtině jako cizímu jazyku často využívá při měření vnímaných jazykových znalostí a dovedností a motivace data založená na sebehodnocení. Ukazuje se však, že přesnost takto získaných dat může být snížena v důsledku rozdílů v užívání škály různými skupinami respondentů. V tomto projektu zkoumáme rozdíly v užívání škál mezi českými žáky nižšího sekundárního stupně při hodnocení vnímaných znalostí a dovedností v oblasti angličtiny jako cizího jazyka a motivace k učení se angličtině jako cizímu jazyku v rozsáhlém dotazníkovém šetření. Dále též zkoumáme vztah mezi těmito koncepty a školními, rodinnými, vrstevnickými a individuálními faktory a jak tento vztah může být ovlivněn rozdíly v užívání škál. Také se zaměřujeme na mezeru v současném výzkumu paradoxního negativního vztahu mezi hodnocením vlastní motivace k učení a výsledky žáků v testech v kontextu výzkumu angličtiny jako cizího jazyka. Výsledky projektu zahrnují publikace v impaktovaných časopisech, v časopisu zařazeném ve Scopus a dalších recenzovaných časopisech.","Anglický jazyk;motivace k učení;sebehodnocení;ukotvující viněty;overclaiming technique;",3,"6100","6100","Analýza determinantů sebehodnocení znalostí anglického jazyka a motivace k učení se anglickému jazyku u českých žáků nižšího sekundárního stupně"
"20-31615S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","doc. Ing. Mariola Pytliková, Ph.D.","Univerzita Karlova","Centrum pro ekonomický výzkum a doktorská studia","Navrhovaný výzkum poskytne integrovaný interdisciplinární přístup ke studiu determinant a důsledků migrace se zvláštním důrazem na ekonomické a společenské rozměry, rodinné struktury, životní prostředí a politickou stabilitu zemí. Předmětem empirického výzkumu jsou nejen ekonomické faktory, ale i odhad vlivů změn v životním prostředí a politické a vládní stability. Hlubší pochopení determinant a dopadů migrace na ekonomiku a společnost jsou důležité k vytvoření optimální imigrační politiky ve světle měnící se demografie globalizovaného světa. Rovněž významným přínosem projektu bude vytvoření databáze mezinárodní migrace, která bude k dispozici jak pro akademickou komunitu, tak i pro tvůrce hospodářských politik.","mezinárodní migrace;determinanty migrace;dopady migrace;změny životního prostředí;ekonometrická analýza;rodiny migrantů",3,"6286","6286","Mezinárodní migrace: detrerminanty a dopady"
"20-28055S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Stanislav Anatolyev, Ph.D.","Univerzita Karlova","Centrum pro ekonomický výzkum a doktorská studia","Mnoho ekonometrických modelů je kontaminováno jednak velkým množství parametrů, které je potřeba odhadnout, tak slabou identifikací parametrů. Ve svém projektu plánujeme vylepšit stávající ekonometrické metody pro některé modely trpícími těmito znaky. Konkrétně plánujeme vyvinout měřítko vhodnosti modelu a test specifikace modelu pro CAPM modely, které trpí tím, že obsahují méně důležité proměnné a zároveň v nich chybí některé důležité proměnné. Dále plánujeme vyvinout robustní test pro slabé instrumenty, jenž bude založen na standardních t a Wald statistikách. Nakonec plánujeme zkonstruovat vysoce parametrizovaná podmíněná pravděpodobnostní rozdělení, která budou schopna přesně odhadnout parametry modelu, aniž by byla negativně ovlivněna schopnost jejich předpovědí.","asymptotická aproximace;dimenzionální asymptotika;vylepšená inference;faktorové modely;slabé instrumenty;mnoho parametrů;podmíněné pravděpodobnostní rozdělení",3,"2739","2739","EKONOMETRIE S PŘEPARAMETRIZOVANÝMI MODELY A SLABOU IDENTIFIKACÍ"
"20-28979S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Ctirad Slavík, Ph.D.","Univerzita Karlova","Centrum pro ekonomický výzkum a doktorská studia","Mzdy, příjmy a bohatství jsou rozděleny mnohem nerovnoměrněji než před několika desítkami let. Tento fakt byl široce zdokumentován jak ve Spojených Státech, tak i v jiných rozvinutých zemích. Projekt si klade za cíl studovat, jak zdanění příjmů souvisí s organizací znalostí ve výrobním procesu a mzdovou nerovností v ekonomice. Plánujeme zkonstruovat ekonomický model s hierarchickou strukturou založenou na znalostech. Tento model je schopen vysvětlit současné změny v mzdové nerovnosti ve spodní a horní části mzdové distribuce. Za použití modelu bychom chtěli studovat dvě množiny otázek. Za prvé pozitivní otázky: plánujeme analyzovat zda nám model tohoto typu může pomoci vysvětlit současný vývoj mzdové nerovnosti. V této souvislosti nás v první řadě zajímá role zdanění. Za druhé normativní otázky: jakou strukturu mají optimální daně v tomto modelu.","nerovnost; mzdy;pracovní hierarchie založené na znalostech;zdanění příjmů;",3,"4613","4613","Organizace znalostí, ekonomická nerovnost a zdanění"
"20-27630S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Levent Celik, Ph.D.","Univerzita Karlova","Centrum pro ekonomický výzkum a doktorská studia","V mnoha soutěžích lidé neznají sílu svých oponentů, přitom informace o síle protivníků má vliv na úsilí jednotlivců. V mnoha případech existuje třetí strana, která touto informací disponuje. Například manažer může znát relativní schopnosti svých zaměstnanců, učitel může zase znát relativní schopnosti svých žáků.  V projektu se plánujeme zabývat tím, kolik informací by měla lépe informovaná strana odhalit, aby maximalizovala úsilí dvou soutěžících. Podrobnost informací může spočívat například v tom, jak přesná a složitá by měla být zpětná vazba poskytnutá zaměstnancům o jejich produktivitě, aby se zvýšilo jejich pracovní úsilí, nebo v tom, jak detailní by měly být výsledky průběžného testu, aby byli žáci více motivováni k přípravě na závěrečný test. Nejdříve budeme uvažovat případ, kdy se může principál zavázat, že odhalí určité informace předtím, než zjistí relativní sílu soutěžících. Poté se zaměříme na situaci bez tohoto závazku. V obou případech budeme zkoumat závislost řešení na stupni morálního hazardu a na relativní pravděpodobnosti možného ex-ante seřazení soutěžících.","informační design;zpětná vazba;soutěže;personální ekonomie;morální hazard",3,"3708","3708","Informační design v soutěžích"
"20-27317S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Nikolas Mittag, Ph.D.","Univerzita Karlova","Centrum pro ekonomický výzkum a doktorská studia","Akademický výzkum i politická rozhodnutí jsou často založena na informacích z výběrových šetření domácností. Přestože je známo, že výběrová šetření trpí chybami měření, relativně málo je známo o jejich rozsahu, povaze a důsledcích. Navíc chybí uspokojivé empirické poznatky o jejich příčinách a o rozsahu a závažnosti statistického vychýlení, ke kterým chyby měření v běžných analýzách vedou. K řešení propojujeme administrativní údaje o dvou významných programech podpory příjmů se třemi hlavními průzkumy domácností. Kombinujeme tedy přesnost administrativních údajů s bohatými informacemi z výběrových šetření. To nám umožňují zkoumat rozsah a povahu chyb měření ve výběrových šetřeních za účelem posouzení kvality dat a studovat jejich příčiny, aby bylo možné zlepšit design výběrových šetření.  Nejdříve se zaměříme na chyby měření způsobené imputacemi a nepravdivými odpověďmi domácností. Dále navrhujeme metodologický rámec založený na kombinaci dat, který bude schopen změřit celkovou chybu ve vykazování a její jednotlivé komponenty. Nakonec se zaměříme na příčiny nepravdivých odpovědí.","chyby výběrových šetření;chyba měření;imputace;žádná odpověď;nesprávné vykazování;programy podpory příjmů",2,"1990","1990","Příčiny a důsledky nesprávného vykazování ve výběrových šetřeních: Výsledky z propojených administrativních dat"
"20-23453S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Ole Jann, PhD","Univerzita Karlova","Centrum pro ekonomický výzkum a doktorská studia","Tento projekt se zabývá střetem dvou legitimních zájmů, a sice střetem mezi touhou jednotlivců chránit si své soukromí, což vede k ekonomickým ziskům, a potřebami společnosti, jež je závislá na efektivním zásobování produkty a službami, což vyžaduje odhalování a agregování informací. Tento projekt si klade za cíl vyvinout metody, jimiž budeme schopni tomuto konfliktu porozumět, a to především v době velkých datových souborů a v online světě. Projekt zahrnuje analýzu (i) jak obavy o soukromí mohou omezit odhalování informací v konverzacích a diskuzích (a jak segregace může zlepšit výměnu informací); (ii) jak mechanismy využívající možnosti internetu mohou vést k efektivnějšímu odhalování informací, které by jinak zůstaly skryty kvůli ochraně soukromí; (iii) jak možnost povinného odhalení nebo zatajení informací může formovat ekonomické proměnné. Přestože bude tento projekt především teoretický, bude také obsahovat několik experimentů a empirických studií zkoumajících chování v online světě na základě nové nasbíraných dat.","Ekonomie informací; soukromí; agregace informací; ekonomické mechanismy; ekonomické experimenty; regulace;",3,"4907","4907","Odhalování informací a soukromí v době všeobecné informovanosti"
"20-08819S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Dr. Nicola Silva","Masarykova univerzita","Lékařská fakulta","ADP-ribosylace je přechodná posttranslační modifikace zprostředkovaná polymerázou PARP1/2 a odstraněná pomocí PARG, která je rychle aktivovaná poškozením DNA. PARP1/2-double knock-out nebo PARG-null model mutantní myši umírá vlivem poškození DNA již v raném stádiu embryonálního vývoje což brání jejich studiu v zárodečných buňkách, kde je fyziologická indukce poškození DNA nutná ke správné segregaci chromozomů. Nuloví mutanti PARP1/2 a PARG Caenorhabditis elegans jsou životaschopní a plodní, což umožňuje analýzu jejich role v průběhu mitózy. Shromáždili jsme silné předběžné pozorování, které odhalilo dosud neznámou úlohu PARG při stimulaci tvorby dvouvláknového zlomu meiotické DNA (DSB) a při podpoře jejich homologní opravy zprostředkované rekombinací spolu s BRCA1. S využitím efektní genetiky, biochemických a cytologických nástrojů, které poskytuje systém C. elegans, očekáváme, že vrhneme nové světlo na to, jak katabolismus ADP-ribózy ovlivňuje dynamiku indukce/opravy DSB v zárodečných buňkách a identifikujeme cíle PARG-1 in vivo, což je typ analýzy, který se dosud neprovádí.","C. elegans meióza; oprava DNA v meióze; PARG-1; HIM-5; ADP-ribosylace; HIM-17; DSB-2;C. elegans zárodečná linie;BRC-1;BRD-1;C.elegans PARP;",3,"5870","5870","Pochopení úlohy PARG při podpoře tvorby a oprav dvouřetězcových zlomů DNA v meióze"
"20-25019S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Mgr. Petr Baďura, Ph.D.","Univerzita Palackého v Olomouci","Fakulta tělesné kultury","Účast v organizovaných volnočasových aktivitách nabízí podněty pro zdravý vývoj mládeže (positive youth development), zatímco část nestrukturovaných aktivit dává příležitosti k rizikovému chování. Dlouhodobé způsoby trávení volného času v průběhu rané až střední adolescence nebyly v Evropě dosud důkladně zkoumány. Cílem podávaného projektu je identifikovat trajektorie zapojení do organizovaných a nestrukturovaných aktivit u adolescentů mezi 11. a 15. rokem života. Zároveň budou zkoumány longitudinální vztahy s ukazateli zdravého vývoje (př. well-being, školní výkon) a rizikového chování, a to v kontextu sociálního prostředí adolescentů. Reprezentativní soubor 11letých bude vybrán ze studie Health Behaviour in School-aged Children 2018 v ČR a titíž respondenti se zúčastní navazujícího výzkumu v letech 2020 a 2022. U finálního souboru (n = ca 1100) tak budou k dispozici data o využívání volného času, zdraví a školním výkonu (jakož i sociodemografické údaje) v 5., 7. a 9. ročníku. Očekávané výstupy čítají 7 článků kategorie JImp a fact sheety pro ředitele škol, učitele i dospívající.","volný čas;adolescence;organizované aktivity;nestrukturované aktivity;longitudinální studie;zdraví;škola;sociodemografické faktory",3,"4902","4902","Trávení volného času v adolescenci: Longitudinální studie"
"20-06498S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","RNDr. Eva Nohýnková, Ph.D.","Univerzita Karlova","1. lékařská fakulta","Giardia intestinalis je jednobuněčný mikroaerofilní mikroorganismus, který je původcem střevních infekcí a současně zástupcem evolučně starých eukaryot. Jeho buňka je unikátní diplomonádní stavbou, redukovanými organelami a minimálním genomem. Je tak vhodným modelem pro studium a definici minimální genetické a proteinové výbavy nutné pro reprodukci eukaryotické buňky. Přesná segregace genomu pomocí mikrotubulů je nezbytná pro růst a vývoj všech eukaryot. Regulují ji dva proteinové komplexy, kinetochor a centrozom. I když Giardia obsahuje dvě jádra, jež se velmi rychle paralelně dělí semi-open mitózou, v genomu chybí řada klíčových komponent obou klíčových komplexů. Cílem projektu je poznat centrozomální centra nukleace mikrotubulů giardií, způsob průchodu mikrotubulů skrz intaktní jadernou membránu a vazbu na kinetochory. K tomu poslouží i pull-down studie interaktomu kinetochorových a centrozomálních proteinů. Budou použity pokročilé metody FIB/SEM a enzymatického tagování. Bude prostudováno, zda se jedná o univerzální či nekonvenční, ale přesto eukaryotické uspořádání mitózy.","Giardia intestinalis;jednobuněčný eukaryot;segregace genomu;mitoza; mikrotubul; kinetochor; centrozom; FIB/SEM tomografie;interaktom",3,"7354","7354","Architektura kinetochoru a centrozomu dvoujaderného parazitického prvoka Giardia intestinalis: univerzalita organel segregujících eukaryotický genom"
"20-19278S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","doc. MUDr. Petra Lišková, MD, Ph.D.","Univerzita Karlova","1. lékařská fakulta","Dystrofie endotelu rohovky postihují až 4 % obyvatel nad 40 let a jsou nejčastější příčinou nutnosti transplantace této tkáně. I přes nedávné pokroky, zůstává řada pacientů bez diagnózy na molekulární úrovni. V rámci projektu se zaměříme na studium genetických faktorů a mechanismů podílejících se na vzniku endotelových dystrofií rohovky. Využijeme při tom zcela unikátní sbírku pacientských vzorků. Změny na úrovni DNA budeme zjišťovat pomocí řady metod včetně exomového a genomového sekvenování. Mechanismy budeme studovat analýzou exprese a regulace v různých buněčných modelech včetně lidského endotelu získaného od pacientů, přičemž použijeme klasické i moderní metody jako jsou např. RNA-seq, qPCR, EMSA, Western blot a imunocytochemii. Detailní klinický popis v korelaci s genotypem napomůže interpretaci funkčních dat a povede k upřesnění klasifikace endotelových dystrofií rohovky. Přímé výstupy projektu pro postižené jedince a jejich rodiny budou spočívat ve zlepšení klinického poradenství a péče. Získané poznatky umožní vývoj nových terapeutických přístupů.","rohovkový endotel;zadní dystrofie rohovky;nové příčinné geny;mutace;",3,"9586","9586","Endotelové dystrofie rohovky - genetické příčiny a molekulární mechanismy"
"20-22102S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Mgr. Vít Pospíšil, Ph.D.","Univerzita Karlova","1. lékařská fakulta","Superenhancery jsou nově objevené klastry mnohočetných genově regulačních oblastí
(enhancerů), které hrají zásadní úlohu v aktivaci tkáňově specifických genů, určení buněčné
identity a indukci diferenciace. Superenhancery zprostředkují 3D interakci genomu nezbytnou
pro správnou aktivaci genů a narušení této interakce hraje klíčovou úlohu v karcinogenezi.
PU.1 je transkripční faktor, nezbytný pro normální krvetvorbu. Přesné hladiny PU.1 stimulují
diferenciaci krvetvorných buněk do různých linií a narušení hladin PU.1 vede k leukemogenezi.
Cílem projektu je identifikovat nové mechanismy regulace genové exprese zprostředkované
kooperací vícečetných regulačních sekvencí - superenhancerů a jimi zprostředkované 3D
organizace chromatinu během PU.1 krvetvorné diferenciace a leukemogeneze. 
Projekt je založen na hluboké analýze regulačních sekvencí, in vitro rekonstituci, mutování a funkčním testování jednotlivých složek superenhancerů a analýze 3D struktury DNA a dále na analýze a manipulaci afinity PU.1 vazebných míst, za využití PU.1 transgeních buněčných linií a myší.","Regulace genové exprese;enhancer;transkripční faktor; chromatin; diferenciace; leukémie",3,"7956","7956","Nové mechanismy genové regulace pomocí (super)enhancerů a 3D organizace genomu v krvetvorné diferenciaci"
"20-01969Y","Juniorské projekty – 2020","Oborová komise lékařských a biologických věd","Ondřej Havránek","Univerzita Karlova","1. lékařská fakulta","Folikulární lymfom (FL) je nejčastějším indolentním non-Hodgkinským lymfomem. Zásadní podíl na jeho vzniku mají mutace epigenetických regulátorů. Genom FL je postižen také rozsáhlými oblastmi amplifikací či delecí a oblastmi s izolovanou ztrátou heterozygozity, jejichž význam není zcela znám. S využitím integrativní genomiky jsme nalezli nový kandidátní gen lymfomageneze: PHIP (Pleckstrin Homology Domain Interacting Protein). PHIP leží na chromozomu (chr) 6q v oblasti, která je u FL nejčastěji postižena delecí (27 % nádorů) a předpokládá se, že propojuje ubikvitinaci a epigenetickou regulaci. Nejčastější oblast postižená ztrátou heterozygozity je na chr 16p (37 % FL nádorů) a zahrnuje CREBBP (CREB Binding Protein, histonová acetyl transferáza), u FL velmi často mutovaný gen. Plánujeme charakterizovat funkci PHIP proteinu obecně a ve vztahu k lymfomagenezi, jeho funkční interakci s epigenetickou regulací a popsat důsledky ztráty heterozygozity CREBBP proteinu v kombinaci s jeho mutacemi. Navrhovaná studie má velký potenciál popsat nové mechanismy podílející se na vzniku lymfomů.","Non-hodgkinský lymfom;NHL;folikulární lymfom;FL;difuzní velkobuněčný B-lymfom;DLBCL;epigenetická regulace;ubiqitinace;acetylace;PHIP;CREBBP;buněčný cyklus",3,"8451","8451","Nové mechanismy lymfomageneze: role PHIP proteinu a poruchy jeho signalizace"
"20-25429S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","prof. MUDr. Otomar Kittnar, CSc., MBA","Univerzita Karlova","1. lékařská fakulta","Vytvoření arteriovenózního zkratu (AVF) vede k hemodynamickým změnám, jako vzestup srdečního výdeje či snížení periferní vaskulární rezistence, a následkem toho ke změnám ve tkáňové perfuzi. Cílem tohoto projektu je popsat oběhové změny po vytvoření AVF při různých hodnotách průtoku zkratem a v definovaných mezních situacích: zvýšení srdečního výdeje, srdeční selhání nebo srdeční zástava vyžadující oběhovou podporu pomocí extrakorporální membránové oxygenace. Využijeme široké spektrum invazivních monitorovacích metod, které nemohou být rutinně využity v klinických podmínkách, k monitorování lokálních změn na makroskopické (průtok tepnami zásobujícími cílové orgány) i mikroskopické úrovni (tkáňová oxygenace, průtok krví tkáněmi) a změn v systémových hemodynamických parametrech. Výzkum bude zaměřen na kompetici mezi AVF a nízkoodporovými částmi cirkulace (mozek, ledviny, srdce). Hlavní hypotézou je, že AVF v těchto situacích odebírá významnou část srdečního výdeje nebo průtoku generovaného mimotělním oběhem, což vede k hypoxii a hypoperfuzi s následkem tkáňového a orgánového poškození.","arteriovenózní zkrat;srdeční selhání;tkáňová hypoxie",3,"7704","7704","Hemodynamické důsledky arteriovenózního zkratu pro orgánovou perfuzi a oxygenaci v mezních situacích"
"20-24603Y","Juniorské projekty – 2020","Oborová komise lékařských a biologických věd","Mgr. Miroslav Hons, PhD","Univerzita Karlova","1. lékařská fakulta","Účinná imunitní reakce vyžaduje od lymfocytů být ve správný čas na správném místě a závisí na jejich rychlé pohyblivosti a správném umístění v lymfoidních orgánech. Současným názorem je, že morfologická polarizace a migrace lymfocytů je řízena chemokiny. Překvapivě, morfologické změny a pohyblivost primárních T buněk mohou být vyvolány i pouhým mechanickým stresem. Předmětem tohoto projektu je proto osvětlit molekulární mechanismus vedoucí od mechanické stimulace T buněk k jejich migraci. Za tímto účelem postavíme přístroj umožňující zároveň kontrolovatelnou deformaci T buněk a jejich mikroskopii. To využijeme ke CRISPR/Cas9 testu možných účastnících se molekul a zobrazování jejich aktivace. Naším záměrem je kombinovat špičkovou mikroskopii, kvantitativní analýzu a molekulární metody k osvětlení nepoznaného mechanismu kterým T buňky rozpoznávají mechanické vlastnosti svého okolí. Naše výsledky budou mít přímý dopad na porozumění biologie lymfocytů s potenciálním ohlasem v medicínském výzkumu.","lymfocyt; T;buňka; migrace;buněk; morfologická;polarita; mikroskopie; mechanický;stress; mechanobiologie; fosfolipáza;C",3,"7897","7897","Charakterizace molekulárních mechanismů řídících morfologickou polarizaci a migraci lymfocytů vystavených mechanickému stresu."
"20-03823S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","doc. Mgr. Karel Černý, Ph.D.","Univerzita Karlova","1. lékařská fakulta","Projekt přispěje k poznání přírodní filosofie v Čechách v 17. století a jejího mezinárodního kontextu. Klíčovou postavou bude osobnost profesora medicíny Jana Marka Marci z Kronlandu a obecněji intelektuální prostředí pražské lékařské fakulty v době po předání univerzity jezuitům do roku 1700. 
Výzkum bude sledovat dvě roviny. První se zaměří na Markovu korespondenci, jejímiž nejvýznamnějšími příjemci byli Athanasius Kircher a Juan Caramuel z Lobkovic. Výsledkem této části výzkumu bude kritická edice Markovy korespondence a zhodnocení jejího významu.
Druhá rovina se bude věnovat zkoumání dědictví Markova díla v prostředí pražské lékařské fakulty. Položí si otázku, jak jeho přírodní filozofie ovlivňovala dobovou medicínou, a prozkoumá, jak se tyto myšlenky proměňovaly u dalších pražských lékařských autorů 17. století. Mezinárodní souvislosti budeme sledovat díky srovnání s publikační činností Markových vídeňských současníků jako byl například Paul de Sorbait a další.","Marek Marci;dějiny;filosofie;Karlova Univerzita;lékařská fakulta;Athanasius Kircher; respublica litteraria;",3,"5179","5179","Jan Marek Marci z Kronlandu (1595-1667) v souvislostech českého filozofického baroka"
"20-25298S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","prof. MUDr. Přemysl Jiruška, Ph.D.","Univerzita Karlova","2. lékařská fakulta","Porucha fyziologických oscilací a vznik patologických oscilací je příčinou řady onemocnění mozku. Vysokofrekvenční oscilace (VFO; 80-600 Hz) a ultrarychlé oscilace (UVFO; 600-2000 Hz) jsou specifické pro mozkovou tkáň, která má endogenní dispozici generovat záchvaty. Přesné mechanizmy, jakými je mozek schopný vytvářet oscilace s milisekundovou přesností, nejsou plně objasněné. Simulace a experimentální data naznačují, že VFO vznikají v důsledku složitých mezibuněčných interakcí na úrovni populace neuronů, které jsou významně ovlivňovány interneurony. Teorie vzniku UVFO oscilací nejsou důvěryhodné, neboť tyto oscilace se frekvenčně pohybují za hranicí známých mechanizmů neuronální aktivity. V projektu plánujeme využít nejmodernější metody optické kontroly aktivity neuronů a záznamu změn v membránovém napětí v neuronální populaci za účelem pochopení mechanizmů vzniku VFO a UVFO. Výsledky přinesou inovativní poznatky o doposud nepopsaných dějích v mozkové aktivitě, které se na vzniku oscilací podílí, a ozřejmí i kauzální úlohu těchto dějů v patogenezi epilepsie a záchvatů.","vysokofrekvenční oscilace; epilepsie; záchvaty; interneurony;",3,"7112","7112","Buněčné mechanizmy vysokofrekvenčních mozkových oscilací a patologicky propojených neuronálních shluků."
